full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Kyrie Irving,90,#11,Brooklyn Nets,G,3/23/1992,6-2 / 1.88,180 lbs. / 81.6 kg.,"$33,722,850 ",Australia,2011,1,1,Duke,NBA2k21,1541,695
Karl-Anthony Towns,90,#32,Minnesota Timberwolves,F-C,11/15/1995,6-11 / 2.11,248 lbs. / 112.5 kg.,"$29,467,800 ",USA,2015,1,1,Kentucky,NBA2k21,0,105
Klay Thompson,89,#11,Golden State Warriors,G,2/8/1990,6-6 / 1.98,205 lbs. / 93 kg.,"$35,361,360 ",USA,2011,1,11,Washington State,NBA2k21,797,225
Jimmy Butler,89,#22,Miami Heat,G,9/14/1989,6-7 / 2.01,220 lbs. / 99.8 kg.,"$34,379,100 ",USA,2011,1,30,Marquette,NBA2k21,89.5,30
Trae Young,88,#11,Atlanta Hawks,G,9/19/1998,6-1 / 1.85,180 lbs. / 81.6 kg.,"$6,571,800 ",USA,2018,1,5,Oklahoma,NBA2k21,#N/A,#N/A
Russell Westbrook,88,#0,Houston Rockets,G,11/12/1988,6-3 / 1.91,190 lbs. / 86.2 kg.,"$41,358,814 ",USA,2008,1,4,UCLA,NBA2k21,2130.5,559
Pascal Siakam,88,#43,Toronto Raptors,F,4/2/1994,6-9 / 2.06,227 lbs. / 103 kg.,"$30,559,200 ",Cameroon,2016,1,27,New Mexico State,NBA2k21,#N/A,#N/A
Donovan Mitchell,88,#45,Utah Jazz,G,9/7/1996,6-1 / 1.85,211 lbs. / 95.7 kg.,"$5,195,501 ",USA,2017,1,13,Louisville,NBA2k21,#N/A,#N/A
Chris Paul,88,#3,Oklahoma City Thunder,G,5/6/1985,6-1 / 1.85,175 lbs. / 79.4 kg.,"$41,358,814 ",USA,2005,1,4,Wake Forest,NBA2k21,829,178.5
Bradley Beal,88,#3,Washington Wizards,G,6/28/1993,6-3 / 1.91,207 lbs. / 93.9 kg.,"$28,751,774 ",USA,2012,1,3,Florida,NBA2k21,55.5,40.5
Rudy Gobert,87,#27,Utah Jazz,C,6/26/1992,7-1 / 2.16,238 lbs. / 108 kg.,"$27,525,281 ",France,2013,1,27,,NBA2k21,731,225.5
Kyle Lowry,87,#7,Toronto Raptors,G,3/25/1986,6-0 / 1.83,205 lbs. / 93 kg.,"$30,500,000 ",USA,2006,1,24,Villanova,NBA2k21,561,162
Kristaps Porzingis,87,#6,Dallas Mavericks,F-C,8/2/1995,7-3 / 2.21,220 lbs. / 99.8 kg.,"$29,467,800 ",Latvia,2015,1,4,,NBA2k21,485,214
