Date,Team,Acquired,Relinquished,Notes,salaries
3/12/2012,Wizards,,Ronny Turiaf,fractured left hand (DNP) (F),#REF!
3/13/2012,Cavaliers,,Anderson Varejao,fractured bone in right wrist (DNP) (F),#REF!
3/13/2012,Grizzlies,,Rudy Gay,concussion (DNP),#REF!
3/13/2012,Heat,,Mike Miller,placed on IL with sprained left ankle,#REF!
3/13/2012,Heat,Terrel Harris,,activated from IL,#REF!
3/13/2012,Kings,,Tyler Honeycutt,placed on IL,#REF!
3/13/2012,Kings,J.J. Hickson,,activated from IL,#REF!
3/13/2012,Lakers,,Luke Walton,gastroenteritis (DNP),#REF!
3/13/2012,Magic,,Earl Clark,sore left foot (DTD),#REF!
3/13/2012,Magic,,Von Wafer,placed on IL with back injury (F),#REF!
3/13/2012,Magic,Justin Harper,,activated from IL,#REF!
3/13/2012,Mavericks,Brandan Wright,,activated from IL,#REF!
3/13/2012,Nuggets,,Julyan Stone,placed on IL,#REF!
3/13/2012,Nuggets,Rudy Fernandez,,activated from IL,#REF!
3/13/2012,Nuggets,Timofey Mozgov,,returned to lineup,#REF!
3/13/2012,Pacers,,Jeff Foster,sore lower back (DNP),#REF!
3/13/2012,Rockets,,Jordan Hill,placed on IL with flu (F),#REF!
3/13/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
3/13/2012,Warriors,,Stephen Curry,sprained right ankle (DNP),#REF!
3/13/2012,Mavericks,,Sean Williams,placed on IL,#REF!
3/14/2012,76ers,Spencer Hawes,,activated from IL,#REF!
3/14/2012,Bobcats,,Cory Higgins,placed on IL,#REF!
3/14/2012,Bobcats,DeSagana Diop,,activated from IL,#REF!
3/14/2012,Bucks,,Ekpe Udoh,placed on IL,#REF!
3/14/2012,Bucks,,Monta Ellis,placed on IL,#REF!
3/14/2012,Bucks,,Shaun Livingston,sprained right ankle (DNP),#REF!
3/14/2012,Bulls,,Derrick Rose,sore groin (DNP),#REF!
3/14/2012,Bulls,,Richard Hamilton,placed on IL with right shoulder injury,#REF!
3/14/2012,Cavaliers,,Anderson Varejao,fractured bone in right wrist (DNP) (F),#REF!
3/14/2012,Hawks,,Marvin Williams,hip flexor injury (DTD),#REF!
3/14/2012,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F),#REF!
3/14/2012,Hornets,,Emeka Okafor,sore left knee (DNP),#REF!
3/14/2012,Hornets,,Jason Smith,concussion (DNP),#REF!
3/14/2012,Knicks,Jared Jeffries,,activated from IL,#REF!
3/14/2012,Nets,,Brook Lopez,sprained right ankle (DNP) (F P),#REF!
3/14/2012,Nets,,Deron Williams,strained right calf (DNP),#REF!
3/14/2012,Nets,,Mehmet Okur,sore lower back (DNP) (F),#REF!
3/14/2012,Pacers,,Jeff Foster,sore lower back (DNP),#REF!
3/14/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
3/14/2012,Rockets,Jordan Hill,,activated from IL,#REF!
3/14/2012,Warriors,,Stephen Curry,sprained right ankle (DNP),#REF!
3/14/2012,Warriors,,Stephen Jackson,placed on IL,#REF!
3/15/2012,Bobcats,,Boris Diaw,placed on IL,#REF!
3/15/2012,Bobcats,Eduardo Najera,,activated from IL,#REF!
3/15/2012,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F),#REF!
3/15/2012,Hornets,,Emeka Okafor,sore left knee (DNP),#REF!
3/15/2012,Hornets,,Jason Smith,concussion (DNP),#REF!
3/15/2012,Jazz,,Earl Watson,placed on IL with ankle injury,#REF!
3/15/2012,Jazz,DeMarre Carroll,,activated from IL,#REF!
3/15/2012,Nuggets,Julyan Stone,,activated from IL,#REF!
3/15/2012,Nuggets,Kosta Koufos,,activated from IL,#REF!
3/15/2012,Suns,,Grant Hill,rest (DNP),#REF!
3/15/2012,Suns,,Steve Nash,rest (DNP),#REF!
3/15/2012,Thunder,,Ryan Reid,placed on IL,#REF!
3/15/2012,Thunder,Thabo Sefolosha,,activated from IL,#REF!
3/15/2012,Timberwolves,,Michael Beasley,placed on IL with toe injury,#REF!
3/15/2012,Timberwolves,Darko Milicic,,activated from IL,#REF!
3/15/2012,Wizards,,Rashard Lewis,sore left knee (DNP) (F P),#REF!
3/15/2012,Clippers,,Nick Young,placed on IL,#REF!
3/15/2012,Nuggets,,JaVale McGee,placed on IL,#REF!
3/15/2012,Nuggets,,Ronny Turiaf,placed on IL,#REF!
3/16/2012,76ers,,Spencer Hawes,placed on IL with left Achilles tendon injury,#REF!
3/16/2012,Blazers,,Elliot Williams,left shoulder injury (DNP) (F),#REF!
3/16/2012,Blazers,,Mehmet Okur,placed on IL,#REF!
3/16/2012,Bucks,,Ersan Ilyasova,placed on IL with illness (F),#REF!
3/16/2012,Bucks,,Kwame Brown,placed on IL recovering from surgery to repair torn right pectoralis muscle in chest (out for season),#REF!
3/16/2012,Bulls,,Derrick Rose,strained groin (DNP),#REF!
3/16/2012,Grizzlies,Zach Randolph,,activated from IL,#REF!
3/16/2012,Hawks,,Marvin Williams,hip flexor injury (DTD),#REF!
3/16/2012,Hawks,,Willie Green,hamstring injury (DNP),#REF!
3/16/2012,Kings,,Francisco Garcia,placed on IL with sprained wrist,#REF!
3/16/2012,Kings,,J.J. Hickson,back injury (DTD),#REF!
3/16/2012,Kings,,Tyreke Evans,sprained left ankle (DNP),#REF!
3/16/2012,Kings,Tyler Honeycutt,,activated from IL,#REF!
3/16/2012,Lakers,,Christian Eyenga,placed on IL,#REF!
3/16/2012,Lakers,,Jordan Hill,placed on IL,#REF!
3/16/2012,Magic,,Justin Harper,placed on IL,#REF!
3/16/2012,Magic,Earl Clark,,returned to lineup,#REF!
3/16/2012,Magic,Jason Richardson,,activated from IL,#REF!
3/16/2012,Nets,,Brook Lopez,sprained right ankle (DNP) (F P),#REF!
3/16/2012,Nets,,Deron Williams,sore right calf (DNP),#REF!
3/16/2012,Nets,,Jordan Farmar,strained right groin (DNP),#REF!
3/16/2012,Pacers,,Jeff Foster,sore lower back (DNP),#REF!
3/16/2012,Pacers,,Leandro Barbosa,placed on IL,#REF!
3/16/2012,Spurs,,Manu Ginobili,placed on IL with hip flexor injury,#REF!
3/16/2012,Spurs,,Stephen Jackson,placed on IL,#REF!
3/16/2012,Thunder,,Daequan Cook,sore right shoulder (DNP),#REF!
3/16/2012,Warriors,,Andrew Bogut,placed on IL with fractured right ankle (out for season),#REF!
3/16/2012,Warriors,,Richard Jefferson,placed on IL,#REF!
3/16/2012,Warriors,,Stephen Curry,sprained right ankle (DNP),#REF!
3/16/2012,Warriors,,T.J. Ford,placed on IL,#REF!
3/16/2012,Wizards,,Rashard Lewis,sore left knee (DNP) (F P),#REF!
3/16/2012,Rockets,Terrence Williams,,activated from IL,#REF!
3/16/2012,Lakers,Darius Morris,,activated from IL,#REF!
3/17/2012,76ers,,Craig Brackins,placed on IL with stomach virus,#REF!
3/17/2012,76ers,Spencer Hawes,,activated from IL,#REF!
3/17/2012,Bobcats,,DeSagana Diop,placed on IL,#REF!
3/17/2012,Bobcats,Cory Higgins,,activated from IL,#REF!
3/17/2012,Bulls,,Derrick Rose,strained groin (DNP),#REF!
3/17/2012,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F),#REF!
3/17/2012,Hornets,,Emeka Okafor,sore left knee (DNP),#REF!
3/17/2012,Jazz,,Raja Bell,strained left / right (CBC) adductor (DNP),#REF!
3/17/2012,Knicks,,Baron Davis,strained right hamstring (DNP),#REF!
3/17/2012,Mavericks,,Brendan Haywood,placed on IL with sprained right knee,#REF!
3/17/2012,Mavericks,,Shawn Marion,sore left knee (DNP),#REF!
3/17/2012,Mavericks,Sean Williams,,activated from IL,#REF!
3/17/2012,Nets,,Brook Lopez,placed on IL with sprained right ankle (out for season),#REF!
3/17/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
3/17/2012,Pacers,,Jeff Foster,sore lower back (DNP),#REF!
3/17/2012,Raptors,,Jose Calderon,sprained right ankle (DNP) (F),#REF!
3/17/2012,Rockets,,Chandler Parsons,illness (DNP),#REF!
3/17/2012,Rockets,,Derek Fisher,placed on IL,#REF!
3/17/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
3/17/2012,Rockets,,Marcus Camby,placed on IL,#REF!
3/17/2012,Spurs,Manu Ginobili,,activated from IL,#REF!
3/17/2012,Spurs,Stephen Jackson,,activated from IL,#REF!
3/17/2012,Warriors,,Stephen Curry,sprained right ankle (DNP),#REF!
3/17/2012,Warriors,Richard Jefferson,,activated from IL,#REF!
3/17/2012,Nuggets,Ronny Turiaf,,activated from IL,#REF!
3/18/2012,Blazers,,Shawne Williams,placed on IL with foot injury (out for season),#REF!
3/18/2012,Cavaliers,,Anderson Varejao,placed on IL (F) (out for season),#REF!
3/18/2012,Cavaliers,,Luke Harangody,placed on IL (P),#REF!
3/18/2012,Clippers,,Travis Leslie,placed on IL,#REF!
3/18/2012,Clippers,Nick Young,,activated from IL,#REF!
3/18/2012,Hawks,,Jannero Pargo,stomach flu / appendicitis (CBC) (DNP),#REF!
3/18/2012,Hawks,,Marvin Williams,placed on IL with hip flexor injury,#REF!
3/18/2012,Hawks,,Vladimir Radmanovic,back injury (DNP),#REF!
3/18/2012,Hawks,,Vladimir Radmanovic,sore back (DNP),#REF!
3/18/2012,Hawks,,Willie Green,hamstring injury (DNP),#REF!
3/18/2012,Hawks,Jason Collins,,activated from IL,#REF!
3/18/2012,Jazz,,Raja Bell,placed on IL,#REF!
3/18/2012,Jazz,Earl Watson,,activated from IL,#REF!
3/18/2012,Kings,,Tyreke Evans,placed on IL with sprained left ankle,#REF!
3/18/2012,Kings,Francisco Garcia,,activated from IL,#REF!
3/18/2012,Lakers,Jordan Hill,,activated from IL,#REF!
3/18/2012,Magic,,Ish Smith,placed on IL,#REF!
3/18/2012,Magic,Von Wafer,,activated from IL,#REF!
3/18/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
3/18/2012,Rockets,Marcus Camby,,activated from IL,#REF!
3/18/2012,Timberwolves,,Nikola Pekovic,placed on IL with sore left ankle,#REF!
3/18/2012,Timberwolves,Michael Beasley,,activated from IL,#REF!
3/18/2012,Wizards,,Rashard Lewis,placed on IL with sore left knee (out for season),#REF!
3/18/2012,Blazers,Elliot Williams,,activated from IL (P),#REF!
3/18/2012,Blazers,,Elliot Williams,placed on IL (F) (out for season),#REF!
3/19/2012,Bobcats,,Corey Maggette,placed on IL with back injury,#REF!
3/19/2012,Bobcats,DeSagana Diop,,activated from IL,#REF!
3/19/2012,Bulls,,Derrick Rose,strained groin (DNP),#REF!
3/19/2012,Cavaliers,,Manny Harris,placed on IL (F),#REF!
3/19/2012,Hawks,,Vladimir Radmanovic,sore back (DNP),#REF!
3/19/2012,Magic,,Von Wafer,placed on IL with back injury,#REF!
3/19/2012,Magic,Ish Smith,,activated from IL,#REF!
3/19/2012,Mavericks,,Shawn Marion,sore left knee (DNP),#REF!
3/19/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
3/19/2012,Nuggets,,Danilo Gallinari,fractured right thumb (DTD),#REF!
3/19/2012,Nuggets,,Jordan Hamilton,placed on IL,#REF!
3/19/2012,Nuggets,,Julyan Stone,placed on IL,#REF!
3/19/2012,Nuggets,JaVale McGee,,activated from IL,#REF!
3/19/2012,Timberwolves,,Darko Milicic,placed on IL,#REF!
3/19/2012,Timberwolves,Nikola Pekovic,,activated from IL,#REF!
3/19/2012,Warriors,,Stephen Curry,sprained right ankle (DNP),#REF!
3/19/2012,Warriors,,Stephen Curry,placed on IL (F),#REF!
3/19/2012,Hawks,,Jannero Pargo,placed on IL with appendectomy,#REF!
3/19/2012,Hawks,,Jannero Pargo,appendectomy (out indefinitely),#REF!
3/20/2012,Bucks,,Jon Leuer,placed on IL,#REF!
3/20/2012,Bucks,Ersan Ilyasova,,activated from IL,#REF!
3/20/2012,Clippers,Ryan Gomes,,returned to lineup,#REF!
3/20/2012,Clippers,Travis Leslie,,activated from IL,#REF!
3/20/2012,Heat,,Joel Anthony,sprained left ankle (DNP),#REF!
3/20/2012,Jazz,,Josh Howard,placed on IL with surgery on left knee,#REF!
3/20/2012,Kings,Tyreke Evans,,activated from IL,#REF!
3/20/2012,Knicks,,Baron Davis,placed on IL with strained right hamstring,#REF!
3/20/2012,Pacers,,Jeff Foster,placed on IL with sore lower back,#REF!
3/20/2012,Pacers,Leandro Barbosa,,activated from IL,#REF!
3/20/2012,Raptors,Jose Calderon,,activated from IL (P),#REF!
3/20/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
3/21/2012,76ers,Craig Brackins,,activated from IL,#REF!
3/21/2012,Blazers,,Elliot Williams,surgery on left shoulder (out for season) (date approximate),#REF!
3/21/2012,Bulls,,Derrick Rose,strained groin (DNP),#REF!
3/21/2012,Cavaliers,,Daniel Gibson,sprained left ankle (DNP) (F P),#REF!
3/21/2012,Clippers,,Caron Butler,DNP,#REF!
3/21/2012,Hawks,,Jannero Pargo,placed on IL with appendectomy,#REF!
3/21/2012,Hawks,,Marvin Williams,DNP,#REF!
3/21/2012,Hawks,,Vladimir Radmanovic,sore back (DNP),#REF!
3/21/2012,Hawks,Marvin Williams,,activated from IL,#REF!
3/21/2012,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F),#REF!
3/21/2012,Hornets,,Emeka Okafor,sore left knee (DNP),#REF!
3/21/2012,Knicks,,Jerome Jordan,placed on IL,#REF!
3/21/2012,Knicks,Baron Davis,,activated from IL,#REF!
3/21/2012,Magic,,Daniel Orton,placed on IL,#REF!
3/21/2012,Magic,Justin Harper,,activated from IL,#REF!
3/21/2012,Mavericks,,Shawn Marion,sore left knee (DNP),#REF!
3/21/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
3/21/2012,Nuggets,,Kosta Koufos,placed on IL with left knee tendinitis,#REF!
3/21/2012,Nuggets,,Rudy Fernandez,placed on IL with strained lower back (out for season),#REF!
3/21/2012,Nuggets,Jordan Hamilton,,activated from IL,#REF!
3/21/2012,Nuggets,Julyan Stone,,activated from IL,#REF!
3/21/2012,Pistons,,Charlie Villanueva,ankle injury (DTD),#REF!
3/21/2012,Pistons,,Rodney Stuckey,toe injury (DTD),#REF!
3/21/2012,Spurs,,Matt Bonner,placed on IL with back injury (F),#REF!
3/21/2012,Spurs,,Patty Mills,placed on IL,#REF!
3/21/2012,Thunder,,Daequan Cook,placed on IL with knee injury,#REF!
3/21/2012,Timberwolves,,Nikola Pekovic,placed on IL with sore left ankle (F),#REF!
3/21/2012,Timberwolves,,Ricky Rubio,surgery on left knee to repair torn ACL,#REF!
3/21/2012,Warriors,,Andris Biedrins,strained right groin (DNP),#REF!
3/21/2012,Warriors,,Stephen Curry,sprained right ankle (DNP) (P),#REF!
3/21/2012,Wizards,,Andray Blatche,conditioning (DNP),#REF!
3/21/2012,Blazers,Mehmet Okur,,activated from IL,#REF!
3/22/2012,Blazers,,Elliot Williams,placed on IL (P) (out for season),#REF!
3/22/2012,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F),#REF!
3/22/2012,Hornets,,Emeka Okafor,sore left knee (DNP),#REF!
3/22/2012,Jazz,,Raja Bell,strained left / right (CBC) adductor (DNP) (F),#REF!
3/22/2012,Kings,,Terrence Williams,placed on IL,#REF!
3/22/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
3/22/2012,Warriors,,Stephen Curry,sprained right ankle (DNP) (P),#REF!
3/22/2012,Wizards,,Andray Blatche,conditioning (DNP),#REF!
3/23/2012,Bobcats,,DeSagana Diop,strained right hamstring (P) / knee injury (CBC) (DNP),#REF!
3/23/2012,Bobcats,,Eduardo Najera,placed on IL with sore left knee,#REF!
3/23/2012,Bobcats,Corey Maggette,,activated from IL,#REF!
3/23/2012,Celtics,,Ray Allen,placed on IL with sore left (P) / right (CBC) ankle,#REF!
3/23/2012,Hawks,,Vladimir Radmanovic,sore back (DNP),#REF!
3/23/2012,Hawks,,Zaza Pachulia,sore right Achilles tendon (DNP),#REF!
3/23/2012,Heat,,Terrel Harris,placed on IL,#REF!
3/23/2012,Jazz,,Raja Bell,strained left / right (CBC) adductor (DNP) (F),#REF!
3/23/2012,Knicks,,Jared Jeffries,placed on IL with right knee inflammation,#REF!
3/23/2012,Knicks,Jerome Jordan,,activated from IL,#REF!
3/23/2012,Magic,,Justin Harper,placed on IL,#REF!
3/23/2012,Magic,Daniel Orton,,activated from IL,#REF!
3/23/2012,Mavericks,,Brendan Haywood,sprained right knee (DNP),#REF!
3/23/2012,Mavericks,Brendan Haywood,,activated from IL,#REF!
3/23/2012,Pistons,,Rodney Stuckey,sore left big toe (DNP),#REF!
3/23/2012,Raptors,,Jerryd Bayless,left hip pointer (DTD),#REF!
3/23/2012,Spurs,, Tony Parker,sore left hamstring (DNP),#REF!
3/23/2012,Spurs,,Cory Joseph,placed on IL,#REF!
3/23/2012,Spurs,,Tiago Splitter,back spasms (DNP),#REF!
3/23/2012,Spurs,Matt Bonner,,activated from IL,#REF!
3/23/2012,Timberwolves,,Michael Beasley,sprained left big toe (DNP),#REF!
3/23/2012,Timberwolves,,Nikola Pekovic,placed on IL with sore left ankle (P),#REF!
3/23/2012,Timberwolves,Darko Milicic,,activated from IL,#REF!
3/23/2012,Celtics,Chris Wilcox,,activated from IL,#REF!
3/23/2012,Mavericks,,Kelenna Azubuike,placed on IL,#REF!
3/23/2012,Pacers,,Kyrylo Fesenko,placed on IL,#REF!
3/24/2012,Bobcats,,DeSagana Diop,strained right hamstring (F P) (DNP),#REF!
3/24/2012,Bulls,,Derrick Rose,strained groin (DNP),#REF!
3/24/2012,Bulls,,Richard Hamilton,right shoulder injury (DNP) (F),#REF!
3/24/2012,Clippers,,Mo Williams,sprained left big toe (DNP),#REF!
3/24/2012,Clippers,,Travis Leslie,placed on IL,#REF!
3/24/2012,Hawks,,Tracy McGrady,rest (DNP),#REF!
3/24/2012,Hornets,,Chris Kaman,illness (DNP),#REF!
3/24/2012,Hornets,,Emeka Okafor,sore left knee (DNP),#REF!
3/24/2012,Hornets,,Trevor Ariza,sore right ankle (DNP),#REF!
3/24/2012,Hornets,Carl Landry,,activated from IL (P),#REF!
3/24/2012,Kings,,Jason Thompson,placed on IL with sprained left ankle,#REF!
3/24/2012,Mavericks,,Brendan Haywood,sprained right knee (DNP),#REF!
3/24/2012,Nets,,DeShawn Stevenson,flu (DNP),#REF!
3/24/2012,Pistons,,Rodney Stuckey,sore left big toe (DNP),#REF!
3/24/2012,Pistons,,Will Bynum,virus (DNP),#REF!
3/24/2012,Pistons,Charlie Villanueva,,activated from IL,#REF!
3/24/2012,Raptors,,DeMar DeRozan,sore left ankle (DNP),#REF!
3/24/2012,Raptors,,Jerryd Bayless,left hip pointer (DTD),#REF!
3/24/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
3/24/2012,Spurs,,Manu Ginobili,sore hip (DNP) (P),#REF!
3/24/2012,Spurs,,Manu Ginobili,placed on IL with sore hip (F),#REF!
3/24/2012,Spurs,,Gary Neal,sprained left foot (DNP),#REF!
3/24/2012,Spurs,,Tiago Splitter,back spasms (DNP) (P),#REF!
3/24/2012,Spurs,,Tiago Splitter,placed on IL with back spasms (F),#REF!
3/24/2012,Warriors,,Andris Biedrins,strained right groin (DNP),#REF!
3/24/2012,Warriors,,Stephen Curry,sprained right ankle (DNP) (F),#REF!
3/24/2012,Wizards,,Andray Blatche,placed on IL (F) (out for season),#REF!
3/24/2012,Warriors,,Chris Wright ,placed on IL (F),#REF!
3/25/2012,76ers,,Andre Iguodala,patella tendinitis in left knee (DNP),#REF!
3/25/2012,Cavaliers,,Daniel Gibson,sprained left ankle (DNP) (F P),#REF!
3/25/2012,Celtics,,Mickael Pietrus,placed on IL with neck injury / concussion,#REF!
3/25/2012,Grizzlies,,Josh Selby,placed on IL,#REF!
3/25/2012,Hawks,,Vladimir Radmanovic,back injury (DNP),#REF!
3/25/2012,Jazz,,Raja Bell,strained left adductor (DNP) (F),#REF!
3/25/2012,Spurs,,Gary Neal,sprained left foot (DNP),#REF!
3/25/2012,Spurs,,Tiago Splitter,back spasms (DNP) (P),#REF!
3/25/2012,Spurs,,Tim Duncan,rest (DNP),#REF!
3/25/2012,Timberwolves,,Jose Barea ,bruised right thigh (DNP),#REF!
3/25/2012,Warriors,,Andris Biedrins,strained right groin (DNP),#REF!
3/25/2012,Warriors,,Stephen Curry,sprained right ankle (DNP) (F),#REF!
3/25/2012,Wizards,,Nene Hilario ,back spasms (DNP),#REF!
3/25/2012,Celtics,Ray Allen,,activated from IL,#REF!
3/25/2012,Celtics,,Ray Allen,sore right ankle (DNP),#REF!
3/25/2012,Thunder,Reggie Jackson ,,activated from IL,#REF!
3/26/2012,Bobcats,,DeSagana Diop,strained right hamstring (P) (DNP),#REF!
3/26/2012,Bulls,,Derrick Rose,strained groin (DNP),#REF!
3/26/2012,Bulls,,Richard Hamilton,right shoulder injury (DNP) (F),#REF!
3/26/2012,Celtics,,Ray Allen,sore right ankle (DNP),#REF!
3/26/2012,Clippers,,Mo Williams,placed on IL with sprained left big toe,#REF!
3/26/2012,Hornets,,Chris Kaman,illness (DNP),#REF!
3/26/2012,Knicks,,Amar'e Stoudemire,placed on IL with bulging disc in lower back,#REF!
3/26/2012,Knicks,,Jeremy Lin,sore left (CBC) / right knee (P) (DNP),#REF!
3/26/2012,Knicks,Jared Jeffries,,activated from IL,#REF!
3/26/2012,Nets,,Anthony Morrow,bruised right shoulder (DNP),#REF!
3/26/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
3/26/2012,Nuggets,,Danilo Gallinari,fractured left thumb (DNP),#REF!
3/26/2012,Raptors,,DeMar DeRozan,sore left / right ankle (DNP),#REF!
3/26/2012,Rockets,,Greg Smith ,placed on IL (F),#REF!
3/26/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
3/26/2012,Wizards,,Trevor Booker,right knee tendinitis (DNP),#REF!
3/27/2012,76ers,,Andre Iguodala,patella tendinitis in left knee (DNP),#REF!
3/27/2012,76ers,Craig Brackins,,activated from IL (P),#REF!
3/27/2012,Bucks,,Carlos Delfino,right groin injury (DNP),#REF!
3/27/2012,Bucks,,Ersan Ilyasova,back spasms (DNP),#REF!
3/27/2012,Cavaliers,,Daniel Gibson,sprained left ankle (DNP) (F P),#REF!
3/27/2012,Lakers,,Jordan Hill,sprained right knee (DNP),#REF!
3/27/2012,Mavericks,,Brendan Haywood,sprained right knee (DNP),#REF!
3/27/2012,Raptors,,Jerryd Bayless,partially torn left oblique muscle (out for season),#REF!
3/27/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
3/27/2012,Spurs,,Tiago Splitter,placed on IL with back spasms (P),#REF!
3/27/2012,Spurs,Patty Mills,,activated from IL,#REF!
3/27/2012,Suns,,Grant Hill,right knee inflammation (DNP),#REF!
3/27/2012,Timberwolves,,Jose Barea ,bruised right thigh (DNP),#REF!
3/27/2012,Warriors,,Andris Biedrins,strained right groin (DNP),#REF!
3/27/2012,Warriors,,Stephen Curry,placed on IL with sprained right ankle (out for season),#REF!
3/28/2012,Bobcats,,Cory Higgins,placed on IL,#REF!
3/28/2012,Bobcats,,Tyrus Thomas,elbow injury (DNP),#REF!
3/28/2012,Bobcats,Eduardo Najera,,activated from IL,#REF!
3/28/2012,Bulls,,Derrick Rose,strained groin (DNP),#REF!
3/28/2012,Bulls,,Richard Hamilton,right shoulder injury (DNP) (F),#REF!
3/28/2012,Cavaliers,,Daniel Gibson,torn tendon in left ankle (DNP),#REF!
3/28/2012,Celtics,,Ray Allen,sore right ankle (DNP),#REF!
3/28/2012,Hawks,,Vladimir Radmanovic,sore back (DNP),#REF!
3/28/2012,Hornets,,Chris Kaman,illness (DNP),#REF!
3/28/2012,Hornets,,Emeka Okafor,sore left knee (DNP),#REF!
3/28/2012,Hornets,,Trevor Ariza,sore right ankle (DNP),#REF!
3/28/2012,Kings,,John Salmons,placed on IL with hip injury (out for season),#REF!
3/28/2012,Kings,Jason Thompson,,activated from IL,#REF!
3/28/2012,Knicks,,Jeremy Lin,sore right knee (P) (DNP),#REF!
3/28/2012,Magic,,Daniel Orton,placed on IL,#REF!
3/28/2012,Magic,Von Wafer,,activated from IL,#REF!
3/28/2012,Nets,,Anthony Morrow,bruised right shoulder (DNP),#REF!
3/28/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
3/28/2012,Nuggets,,Danilo Gallinari,placed on IL with fractured left thumb,#REF!
3/28/2012,Nuggets,Kosta Koufos,,activated from IL,#REF!
3/28/2012,Pistons,,Ben Gordon,groin injury (DTD),#REF!
3/28/2012,Raptors,,James Johnson,upper respiratory infection (DNP),#REF!
3/28/2012,Raptors,,Jerryd Bayless,placed on IL with partially torn left oblique muscle (out for season),#REF!
3/28/2012,Spurs,,Justin Dentmon,placed on IL,#REF!
3/28/2012,Spurs,Tiago Splitter,,activated from IL,#REF!
3/28/2012,Suns,,Grant Hill,right knee inflammation (DNP),#REF!
3/28/2012,Suns,,Markieff Morris,flu (DNP),#REF!
3/28/2012,Timberwolves,,Jose Barea ,bruised right quadricep (DNP),#REF!
3/28/2012,Timberwolves,,Michael Beasley,sprained left big toe (DNP),#REF!
3/28/2012,Warriors,,Andris Biedrins,strained right groin (DNP),#REF!
3/29/2012,Blazers,,Nolan Smith,ear infection (DNP),#REF!
3/29/2012,Hornets,,Chris Kaman,illness (DNP),#REF!
3/29/2012,Hornets,,Emeka Okafor,sore left knee (DNP),#REF!
3/29/2012,Hornets,,Jarrett Jack,sore right ankle (DNP),#REF!
3/29/2012,Hornets,,Trevor Ariza,sore right ankle (DNP),#REF!
3/29/2012,Mavericks,,Dominique Jones,placed on IL,#REF!
3/29/2012,Mavericks,Delonte West,,activated from IL,#REF!
3/29/2012,Nuggets,,Rudy Fernandez,surgery on lower back (out for season),#REF!
3/29/2012,Wizards,,Andray Blatche,placed on IL (P) (out for season),#REF!
3/30/2012,Blazers,,LaMarcus Aldridge,sprained left elbow (DNP),#REF!
3/30/2012,Bobcats,,DeSagana Diop,placed on IL,#REF!
3/30/2012,Bobcats,Cory Higgins,,activated from IL,#REF!
3/30/2012,Bucks,,Carlos Delfino,placed on IL with right groin injury,#REF!
3/30/2012,Bucks,Jon Leuer,,activated from IL,#REF!
3/30/2012,Bulls,,Derrick Rose,strained groin (DNP),#REF!
3/30/2012,Cavaliers,,Daniel Gibson,torn tendon in left ankle (DNP),#REF!
3/30/2012,Cavaliers,,Daniel Gibson,placed on IL with torn tendon in left ankle,#REF!
3/30/2012,Celtics,,Jermaine O'Neal,arthroscopic surgery on left wrist (out for season),#REF!
3/30/2012,Celtics,,Ray Allen,sore right ankle (DNP),#REF!
3/30/2012,Hawks,,Tracy McGrady,illness (DNP),#REF!
3/30/2012,Hawks,,Vladimir Radmanovic,sore back (DNP),#REF!
3/30/2012,Heat,Terrel Harris,,activated from IL,#REF!
3/30/2012,Jazz,,Josh Howard,surgery on left knee (DNP) (F),#REF!
3/30/2012,Kings,,Tyreke Evans,back spasms (DNP),#REF!
3/30/2012,Knicks,,Jared Jeffries,sore right knee (DNP),#REF!
3/30/2012,Knicks,,Jeremy Lin,sore left knee (P) (DNP),#REF!
3/30/2012,Magic,,Von Wafer,placed on IL,#REF!
3/30/2012,Magic,Daniel Orton,,activated from IL,#REF!
3/30/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
3/30/2012,Nets,,Jordan Williams,concussion (DNP),#REF!
3/30/2012,Nets,,Shelden Williams,right eye injury (DNP),#REF!
3/30/2012,Pistons,,Rodney Stuckey,sore left hamstring (DNP),#REF!
3/30/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
3/30/2012,Suns,,Grant Hill,surgery on right knee to repair torn meniscus,#REF!
