Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary
1,Precious Achiuwa,C,22,TOR,6,1,27.8,4.2,8.7,0.481,0.8,2.7,0.313,3.3,6,0.556,0.529,1,1.7,0.6,1.3,3.5,4.8,1,0.2,0.8,1.5,2.3,10.2,#N/A
2,Steven Adams,C,28,MEM,7,5,16.3,1.3,3,0.429,0,0,0,1.3,3,0.429,0.429,0.9,1.6,0.545,2.1,4.3,6.4,2.1,0.1,0.1,0.6,1.7,3.4,25842697.00
3,Bam Adebayo,C,24,MIA,18,18,34.1,5.8,9.7,0.594,0,0.1,0,5.8,9.7,0.598,0.594,3.2,4.2,0.763,2.1,5.9,8,2.7,1,0.7,2.1,3.1,14.8,3454080.00
4,Nickeil Alexander-Walker,SG,23,UTA,1,0,5,2,2,1,0,0,0,2,2,1,1,1,1,1,0,1,1,1,1,0,0,0,5,2964840.00
5,Grayson Allen,SG,26,MIL,12,5,25.4,3.1,6.8,0.451,1.6,4,0.396,1.5,2.8,0.529,0.567,0.6,0.9,0.636,0.4,2.5,2.9,1.3,0.7,0.3,0.8,1.8,8.3,2429400.00
6,Jose Alvarado,PG,23,NOP,6,0,19.5,2.7,5.5,0.485,1,2.7,0.375,1.7,2.8,0.588,0.576,1.7,2.2,0.769,0.3,1,1.3,1.5,1.2,0.2,1.2,3,8,#N/A
7,Kyle Anderson,PF,28,MEM,12,1,18.4,2.4,4.3,0.569,0.3,1,0.25,2.2,3.3,0.667,0.598,0.9,1.5,0.611,0.8,3.5,4.3,1.8,0.9,0.6,0.8,1.8,6,9073050.00
8,Giannis Antetokounmpo,PF,27,MIL,12,12,37.3,11.7,23.8,0.491,0.8,3.4,0.22,10.9,20.3,0.537,0.507,7.6,11.2,0.679,2.2,12,14.2,6.8,0.7,1.3,4.5,3.6,31.7,25842697.00
9,Thanasis Antetokounmpo,SF,29,MIL,8,0,2.5,0.3,0.4,0.667,0,0,0,0.3,0.4,0.667,0.667,0.1,0.4,0.333,0.1,0.4,0.5,0.1,0.1,0,0,0.5,0.6,1445697.00
10,OG Anunoby,SF,24,TOR,6,6,36.2,6.5,13.7,0.476,2.3,6.8,0.341,4.2,6.8,0.61,0.561,2,2.7,0.75,1.2,2.8,4,2.5,1,0.2,1.7,3,17.3,2281800.00
11,Deandre Ayton,C,23,PHO,13,13,30.5,8.1,12.6,0.64,0.2,0.3,0.5,7.9,12.3,0.644,0.646,1.6,2.5,0.636,2.5,6.4,8.9,1.7,0.4,0.8,1.5,2.6,17.9,9562920.00
12,Desmond Bane,SF,23,MEM,12,12,35.7,6.3,13.3,0.478,3.6,7.3,0.489,2.8,5.9,0.465,0.613,2.5,2.9,0.857,0.4,3.3,3.8,2.2,0.9,0.8,1.3,1.9,18.8,#N/A
13,Dalano Banton,PG,22,TOR,4,0,2,0.5,0.5,1,0,0,0,0.5,0.5,1,1,0.8,1.5,0.5,0.5,0,0.5,0.3,0.3,0,0.3,0,1.8,#N/A
14,Scottie Barnes,PF,20,TOR,4,3,33.3,4.5,10.5,0.429,0.5,3,0.167,4,7.5,0.533,0.452,3.3,4,0.813,1.8,7.3,9,4.3,1,0.3,1.3,3,12.8,#N/A
15,Will Barton,SG,31,DEN,5,5,34.4,5.4,13.2,0.409,2.2,5.6,0.393,3.2,7.6,0.421,0.492,0.8,1.2,0.667,1,4.6,5.6,2.8,0.8,0.2,2,2.2,13.8,12776786.00
16,Charles Bassey,PF,21,PHI,3,0,4,0.3,0.7,0.5,0,0,0,0.3,0.7,0.5,0.5,0,0.3,0,0.3,1.3,1.7,0.3,0,0.3,0,0.3,0.7,#N/A
17,Malik Beasley,SG,25,MIN,6,0,19.8,3.2,7.3,0.432,1.3,4.2,0.32,1.8,3.2,0.579,0.523,0.8,1,0.833,0.3,3,3.3,0.7,0.3,0.2,1.2,1.5,8.5,2731713.00
18,D?vis Bert?ns,PF,29,DAL,18,0,10.7,1.2,3.1,0.4,1.1,2.8,0.373,0.2,0.2,0.75,0.573,0.6,0.7,0.833,0.2,1.2,1.4,0.3,0.4,0.1,0.2,1.4,4.1,7000000.00
19,Patrick Beverley,PG,33,MIN,6,6,32.3,3.5,8.2,0.429,1.5,4.3,0.346,2,3.8,0.522,0.52,2.5,3.7,0.682,0.7,2.5,3.2,4.8,1.2,1.2,2,4.7,11,12345680.00
20,Khem Birch,C,29,TOR,6,4,10.5,1.3,2.7,0.5,0.3,0.7,0.5,1,2,0.5,0.563,0,0,0,0.7,0.8,1.5,0.5,0.2,0.2,0.5,2.2,3,3000000.00
21,Bismack Biyombo,C,29,PHO,9,0,9.6,1.2,1.9,0.647,0,0,0,1.2,1.9,0.647,0.647,0.3,0.7,0.5,0.9,1.2,2.1,0.6,0.1,0.2,0.7,1.4,2.8,17000000.00
22,Nemanja Bjelica,C,33,GSW,15,0,10,1.2,2.3,0.529,0.2,0.5,0.375,1,1.7,0.577,0.574,0.3,0.5,0.571,0.4,1.7,2.1,1.1,0.3,0.1,0.5,1.4,2.9,6825000.00
23,Bogdan Bogdanovi?,SG,29,ATL,4,0,26.8,5,12.3,0.408,2.3,6.5,0.346,2.8,5.8,0.478,0.5,2,2.5,0.8,1,3.8,4.8,3,0.3,0.3,1,3,14.3,8529386.00
24,Bojan Bogdanovi?,PF,32,UTA,6,6,35.7,6.5,13.5,0.481,1.8,5.5,0.333,4.7,8,0.583,0.549,3.2,4,0.792,0.5,3.7,4.2,1.7,0.3,0,2,4,18,17000000.00
25,Isaac Bonga,SF,22,TOR,1,0,3,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,1,2,1416852.00
26,Devin Booker,SG,25,PHO,10,10,36.6,7.9,17.5,0.451,2.8,6.5,0.431,5.1,11,0.464,0.531,4.7,5.3,0.887,1,3.8,4.8,4.4,0.5,0.4,3.2,2.5,23.3,27285000.00
27,Chris Boucher,PF,29,TOR,6,0,21.7,4.3,7,0.619,1,2.5,0.4,3.3,4.5,0.741,0.69,1.5,1.7,0.9,2,3.8,5.8,0.2,0.2,1.2,0.3,2.2,11.2,1588231.00
28,Tony Bradley,C,24,CHI,2,0,4,2.5,2.5,1,0,0,0,2.5,2.5,1,1,0,0,0,0,2,2,0.5,0,0,0,0,5,1962360.00
29,Mikal Bridges,SF,25,PHO,13,13,38.5,5.1,10.6,0.478,1,2.5,0.394,4.1,8.1,0.505,0.525,2.2,2.3,0.933,0.9,3.8,4.7,2.8,1.1,1,0.8,2.4,13.3,4161000.00
30,Armoni Brooks,PG,23,TOR,4,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,#N/A
31,Dillon Brooks,SF,26,MEM,11,11,30.5,5.5,15.6,0.349,2.3,6.5,0.347,3.2,9.1,0.35,0.422,1.5,2.3,0.64,0.7,2,2.7,2.7,1,0.3,2,3.3,14.6,1618520.00
32,Bruce Brown,SF,25,BRK,4,4,34.8,5.3,9.3,0.568,1.5,3.5,0.429,3.8,5.8,0.652,0.649,2,2.5,0.8,1.5,3.3,4.8,2.8,1.3,0.8,2.3,4,14,1416852.00
33,Jaylen Brown,SF,25,BOS,24,24,38.3,8.2,17.5,0.47,2.5,6.7,0.373,5.7,10.8,0.531,0.542,4.2,5.5,0.763,1.4,5.5,6.9,3.5,1.1,0.4,3.1,3,23.1,6534829.00
