full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS
Chris Paul,88,#3,Oklahoma City Thunder,G,5/6/1985,6-1 / 1.85,175 lbs. / 79.4 kg.,41358814,USA,2005,1,4,Wake Forest,NBA2k21,829,178.5,6.4
Christian Wood,74,#35,Detroit Pistons,F,9/27/1995,6-10 / 2.08,216 lbs. / 98 kg.,1645357,USA,2015,Undrafted,Undrafted,UNLV,NBA2k20,N/A,N/A,N/A
Chuma Okeke,72,#3,Free agent,F-C,8/18/1998,6-8 / 2.03,230 lbs. / 104 kg.,2773550,USA,2019,1,16,Auburn,NBA2k20,N/A,N/A,N/A
CJ McCollum,87,#3,Portland Trail Blazers,G,9/19/1991,6-3 / 1.91,197 lbs. / 89.4 kg.,27556959,USA,2013,1,10,Lehigh,NBA2k20,N/A,N/A,0.161
CJ Miles,73,#0,Free agent,G-F,3/18/1987,6-6 / 1.98,232 lbs. / 105.2 kg.,8730158,USA,2005,2,34,N/A,NBA2k20,N/A,N/A,N/A
Clint Capela,85,#15,Atlanta Hawks,C,5/18/1994,6-10 / 2.08,211 lbs. / 95.7 kg.,16896552,Switzerland,2014,1,25,N/A,NBA2k20,120,45.5,0.025
Coby White,76,#0,Chicago Bulls,G,2/16/2000,6-4 / 1.93,185 lbs. / 83.9 kg.,5307120,USA,2019,1,7,North Carolina,NBA2k20,N/A,N/A,N/A
Cody Zeller,77,#40,Charlotte Hornets,C-F,10/5/1992,7-0 / 2.13,230 lbs. / 104.3 kg.,14471910,USA,2013,1,4,Indiana,NBA2k20,90,29,N/A
Collin Sexton,77,#2,Cleveland Cavaliers,G,1/4/1999,6-1 / 1.85,190 lbs. / 86.2 kg.,4764960,USA,2018,1,8,Alabama,NBA2k20,N/A,N/A,N/A
Cory Joseph,74,#9,Sacramento Kings,G,8/20/1991,6-3 / 1.91,185 lbs. / 83.9 kg.,12000000,Canada,2011,1,29,Texas,NBA2k20,48.5,15,N/A
Courtney Lee,72,#1,Dallas Mavericks,G-F,10/3/1985,6-5 / 1.96,200 lbs. / 90.7 kg.,12759670,USA,2008,1,22,Western Kentucky,NBA2k20,2,1,N/A
Cristiano Felicio,72,#6,Chicago Bulls,F,7/7/1992,6-10 / 2.08,270 lbs. / 122.5 kg.,8156500,Brazil,2014,Undrafted,Undrafted,N/A,NBA2k20,N/A,N/A,N/A
Damian Lillard,92,#0,Portland Trail Blazers,G,7/15/1990,6-2 / 1.88,195 lbs. / 88.5 kg.,29802321,USA,2012,1,6,Weber State,NBA2k20,186.5,43,1.34
Damian Lillard,94,#0,Portland Trail Blazers,G,7/15/1990,6-2 / 1.88,195 lbs. / 88.5 kg.,31626953,USA,2012,1,6,Weber State,NBA2k21,186.5,43,1.34
Damian Lillard,94,#0,Portland Trail Blazers,G,7/15/1990,6-2 / 1.88,195 lbs. / 88.5 kg.,39344900,USA,2012,1,6,Weber State,NBA2k22,186.5,43,1.34
Damyean Dotson,75,#21,New York Knicks,G,5/6/1994,6-5 / 1.96,202 lbs. / 91.6 kg.,1618520,USA,2017,2,44,Houston,NBA2k20,N/A,N/A,N/A
D'Angelo Russell,87,#0,Minnesota Timberwolves,G,2/23/1996,6-4 / 1.93,193 lbs. / 87.5 kg.,27285000,USA,2015,1,2,Ohio State,NBA2k20,0,232,N/A
Daniel Gafford,71,#12,Chicago Bulls,F,10/1/1998,6-10 / 2.08,234 lbs. / 106.1 kg.,898310,USA,2019,2,38,Arkansas,NBA2k20,N/A,N/A,N/A
Daniel Theis,76,#27,Boston Celtics,C,4/4/1992,6-8 / 2.03,215 lbs. / 97.5 kg.,5000000,Germany,2013,Undrafted,Undrafted,N/A,NBA2k20,N/A,N/A,N/A
Danilo Gallinari,83,#8,Oklahoma City Thunder,F,8/8/1988,6-10 / 2.08,225 lbs. / 102.1 kg.,22615559,Italy,2008,1,6,N/A,NBA2k20,29,6,0.711
Danny Green,77,#14,Los Angeles Lakers,G,6/22/1987,6-6 / 1.98,209 lbs. / 94.8 kg.,14634147,USA,2009,2,46,North Carolina,NBA2k20,0,15,N/A
Danuel House,73,#4,Houston Rockets,F,6/7/1993,6-6 / 1.98,220 lbs. / 99.8 kg.,3540000,USA,2016,Undrafted,Undrafted,Texas A&M,NBA2k20,N/A,N/A,N/A
