rating,height,weight,salary,draft_year,draft_round,draft_peak,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS,Experience,Age,bmi,team_salary,position_C,position_C-F,position_F,position_F-C,position_F-G,position_G,position_G-F,country_USA,country_not USA
75,1.93,90.7,0.07655862769222938,2018,0,0,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,24.34964697038847,1,0,0,0,0,0,0,1,1,0
69,2.06,101.6,0.03234147732632633,2017,0,0,583.257281553398,198.99757281553397,2.850071428571429,6.0,30.0,23.94193609199736,1,0,0,0,1,0,0,0,1,0
86,2.08,122.5,0.5913502461330032,2012,1,9,0.0,25.0,1.22,11.0,30.0,28.314534023668635,6,1,0,0,0,0,0,0,1,0
78,1.98,93.9,0.3746954525299116,2004,1,9,300.5,43.0,2.850071428571429,19.0,39.0,23.951637588001226,6,0,0,0,0,0,0,1,1,0
76,2.01,93.4,0.23377463751804411,2013,1,26,10.0,8.0,2.850071428571429,10.0,32.0,23.118239647533485,6,0,0,0,0,0,0,1,1,0
79,2.01,89.4,0.600350974436009,2014,1,1,182.0,54.5,2.850071428571429,9.0,28.0,22.128165144427125,6,0,0,1,0,0,0,0,0,1
72,1.91,82.1,0.045911122892090234,2018,1,24,583.257281553398,198.99757281553397,2.850071428571429,5.0,24.0,22.504865546448837,6,0,0,0,0,0,1,0,1,0
73,2.08,113.4,0.048802817766849714,2016,1,23,583.257281553398,198.99757281553397,2.850071428571429,7.0,26.0,26.211168639053252,6,1,0,0,0,0,0,0,0,1
94,2.08,100.7,0.5913502680000243,2012,1,1,368.0,104.0,1.22,11.0,30.0,23.27570266272189,6,0,0,0,1,0,0,0,1,0
95,2.08,100.7,0.7148766549125597,2012,1,1,368.0,104.0,1.22,11.0,30.0,23.27570266272189,6,0,0,0,1,0,0,0,1,0
72,2.03,108.9,0.061327285323472064,2007,0,0,11.0,2.0,2.850071428571429,16.0,38.0,26.4262661069184,2,0,0,1,0,0,0,0,1,0
72,1.93,89.4,0.03144982767256655,2017,0,0,583.257281553398,198.99757281553397,2.850071428571429,6.0,27.0,24.000644312598997,1,0,0,0,0,0,0,1,1,0
75,2.08,117.9,0.1181536379528917,2009,0,0,583.257281553398,198.99757281553397,2.850071428571429,14.0,37.0,27.251294378698223,1,1,0,0,0,0,0,0,0,1
76,1.91,90.7,0.0464523316651566,2012,1,10,75.5,23.0,2.850071428571429,11.0,31.0,24.862257065321675,6,0,0,0,0,0,1,0,1,0
76,1.91,88.5,0.1468807809570434,2010,1,19,583.257281553398,198.99757281553397,2.850071428571429,13.0,33.0,24.259203420958855,6,0,0,0,0,0,1,0,1,0
79,2.06,110.2,0.07443708930180919,2017,1,14,583.257281553398,198.99757281553397,2.850071428571429,6.0,26.0,25.968517296634936,6,0,0,0,1,0,0,0,1,0
