rating,height,weight,draft_year,draft_round,draft_peak,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS,Experience,Age,bmi,team_salary,position_C,position_C-F,position_F,position_F-C,position_F-G,position_G,position_G-F,country_USA,country_not USA
76,2.08,106.6,2008,1,2,8.0,5.0,0.064,15.0,34.0,24.639423076923073,1,0,0,1,0,0,0,0,1,0
74,2.08,98.0,2015,0,0,583.257281553398,198.99757281553397,2.850071428571429,8.0,28.0,22.65162721893491,2,0,0,1,0,0,0,0,1,0
73,2.03,94.8,2019,1,15,583.257281553398,198.99757281553397,2.850071428571429,4.0,23.0,23.004683442937228,2,0,0,1,0,0,0,0,0,1
72,2.13,98.0,2016,1,10,0.0,39.5,2.850071428571429,7.0,26.0,21.600652427869253,2,0,0,0,1,0,0,0,0,1
82,2.11,115.7,2013,1,12,36.0,99.0,2.850071428571429,10.0,30.0,25.987736124525508,6,1,0,0,0,0,0,0,0,1
75,1.91,89.4,2017,1,11,583.257281553398,198.99757281553397,2.850071428571429,6.0,25.0,24.505907184561828,5,0,0,0,0,0,1,0,1,0
76,2.08,95.7,2011,2,42,583.257281553398,198.99757281553397,2.850071428571429,12.0,31.0,22.1200073964497,6,0,0,1,0,0,0,0,0,1
80,2.03,89.8,2013,1,2,583.257281553398,198.99757281553397,2.850071428571429,10.0,30.0,21.791356257128303,2,0,0,1,0,0,0,0,1,0
77,2.01,102.1,2019,1,4,583.257281553398,198.99757281553397,2.850071428571429,4.0,26.0,25.271651691789813,1,0,0,1,0,0,0,0,1,0
76,1.78,79.4,2006,0,0,583.257281553398,198.99757281553397,2.850071428571429,17.0,39.0,25.059967175861633,6,0,0,0,0,0,1,0,0,1
78,2.08,109.3,2017,2,42,583.257281553398,198.99757281553397,2.850071428571429,6.0,26.0,25.263498520710055,6,0,0,0,1,0,0,0,1,0
83,1.96,101.2,2016,2,36,583.257281553398,198.99757281553397,2.850071428571429,7.0,31.0,26.343190337359438,2,0,0,0,0,0,1,0,1,0
73,1.96,93.9,2016,1,21,583.257281553398,198.99757281553397,2.850071428571429,7.0,29.0,24.44294044148272,1,0,0,1,0,0,0,0,1,0
79,2.01,89.4,2014,1,1,182.0,54.5,2.850071428571429,9.0,28.0,22.128165144427125,6,0,0,1,0,0,0,0,0,1
79,1.85,89.4,2006,0,0,0.0,17.5,2.850071428571429,17.0,29.0,26.12125639152666,6,0,0,0,0,0,1,0,1,0
72,2.11,113.4,2019,1,18,583.257281553398,198.99757281553397,2.850071428571429,4.0,24.0,25.471125985489998,2,1,0,0,0,0,0,0,0,1
71,1.96,94.8,2018,2,37,583.257281553398,198.99757281553397,2.850071428571429,5.0,24.0,24.677217825905874,6,0,0,0,0,0,1,0,1,0
70,2.11,115.7,2012,1,26,11.0,3.0,2.850071428571429,11.0,35.0,25.987736124525508,1,0,0,0,1,0,0,0,1,0
76,2.01,97.5,2018,1,9,583.257281553398,198.99757281553397,2.850071428571429,5.0,24.0,24.1330660132175,1,0,0,1,0,0,0,0,1,0
74,2.11,105.2,2017,1,10,583.257281553398,198.99757281553397,2.850071428571429,6.0,26.0,23.629298533276433,6,1,0,0,0,0,0,0,1,0
