full_name,rating,draft_year,TWITTER_FOLLOWER_COUNT_MILLIONS,Experience,Age
Vincent Poirier,73,2015,2.850071429,8,30
Wayne Ellington,75,2009,2.850071429,14,36
Wendell Carter,78,2018,2.850071429,5,24
Wesley Iwundu,72,2017,2.850071429,6,29
Wesley Matthews,76,2009,2.850071429,14,37
Will Barton,78,2012,2.850071429,11,32
Willie Cauley-Stein,79,2015,2.850071429,8,30
Willy Hernangomez,76,2015,0.055,8,29
Wilson Chandler,75,2007,2.850071429,16,36
Yante Maten,70,2018,2.850071429,5,27
Yogi Ferrell,74,2016,2.850071429,7,30
Zach Collins,74,2017,2.850071429,6,26
Zach LaVine,85,2014,2.850071429,9,28
Zhaire Smith,72,2018,2.850071429,5,24
Zion Williamson,81,2019,2.850071429,4,23
