full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version
E'Twaun Moore,74,#55,New Orleans Pelicans,G,2/25/1989,6-3 / 1.91,191 lbs. / 86.6 kg.,"$8,664,928 ",USA,2011,2,55,Purdue,NBA2k20
Joakim Noah,74,#0,Los Angeles Clippers,C,2/25/1985,6-11 / 2.11,227 lbs. / 103 kg.,"$6,813,026 ",USA,2007,1,9,Florida,NBA2k20
Kyle O'Quinn,74,#9,Philadelphia 76ers,F-C,3/26/1990,6-9 / 2.06,240 lbs. / 108.9 kg.,"$2,174,318 ",USA,2012,2,49,Norfolk State,NBA2k20
Chandler Parsons,74,#0,,F,10/25/1988,6-9 / 2.06,200 lbs. / 90.7 kg.,"$25,102,512 ",USA,2011,2,38,Florida,NBA2k20
Norman Powell,74,#24,Toronto Raptors,G,5/25/1993,6-3 / 1.91,215 lbs. / 97.5 kg.,"$10,116,576 ",USA,2015,2,46,UCLA,NBA2k20
Ivan Rabb,74,#0,,F-C,2/4/1997,6-10 / 2.08,220 lbs. / 99.8 kg.,"$451,326 ",USA,2017,2,35,California,NBA2k20
Glenn Robinson III,74,#22,Golden State Warriors,F,1/8/1994,6-6 / 1.98,211 lbs. / 95.7 kg.,"$1,882,867 ",USA,2014,2,40,Michigan,NBA2k20
Denzel Valentine,74,#45,Chicago Bulls,G,11/16/1993,6-4 / 1.93,210 lbs. / 95.3 kg.,"$3,377,568 ",USA,2016,1,14,Michigan State,NBA2k20
Robert Williams,74,#44,Boston Celtics,F-C,10/17/1997,6-8 / 2.03,237 lbs. / 107.5 kg.,"$1,937,520 ",USA,2018,1,27,Texas A&M,NBA2k20
Christian Wood,74,#35,Detroit Pistons,F,9/27/1995,6-10 / 2.08,216 lbs. / 98 kg.,"$1,645,357 ",USA,2015,Undrafted,Undrafted,UNLV,NBA2k20
Jaxson Hayes,74,#10,New Orleans Pelicans,F-C,5/23/2000,6-11 / 2.11,220 lbs. / 99.8 kg.,"$4,862,040 ",USA,2019,1,8,Texas,NBA2k20
Rui Hachimura,74,#8,Washington Wizards,F,2/8/1998,6-8 / 2.03,225 lbs. / 102.1 kg.,"$4,469,160 ",Japan,2019,1,9,Gonzaga,NBA2k20
OG Anunoby,73,#3,Toronto Raptors,F-G,7/17/1997,6-7 / 2.01,232 lbs. / 105.2 kg.,"$2,281,800 ",United Kingdom,2017,1,23,Indiana,NBA2k20
Dwayne Bacon,73,#7,Charlotte Hornets,G,8/30/1995,6-6 / 1.98,220 lbs. / 99.8 kg.,"$1,618,520 ",USA,2017,2,40,Florida State,NBA2k20
DeAndre Bembry,73,#95,Atlanta Hawks,F,7/4/1994,6-5 / 1.96,207 lbs. / 93.9 kg.,"$2,603,981 ",USA,2016,1,21,Saint Joseph's,NBA2k20
Jonah Bolden,73,#0,Phoenix Suns,F,1/2/1996,6-8 / 2.03,215 lbs. / 97.5 kg.,"$1,788,296 ",Australia,2017,2,36,UCLA,NBA2k20
Sterling Brown,73,#23,Milwaukee Bucks,G,2/10/1995,6-5 / 1.96,230 lbs. / 104.3 kg.,"$1,618,520 ",USA,2017,2,46,SMU,NBA2k20
Bruce Brown,73,#6,Detroit Pistons,G,8/15/1996,6-4 / 1.93,190 lbs. / 86.2 kg.,"$1,416,852 ",USA,2018,2,42,Miami (Florida),NBA2k20
Troy Brown,73,#6,Washington Wizards,F-G,7/28/1999,6-6 / 1.98,215 lbs. / 97.5 kg.,"$3,219,480 ",USA,2018,1,15,Oregon,NBA2k20
Alec Burks,73,#0,Philadelphia 76ers,G,7/20/1991,6-6 / 1.98,195 lbs. / 88.5 kg.,"$2,320,044 ",USA,2011,1,12,Colorado,NBA2k20
Alex Caruso,73,#4,Los Angeles Lakers,G,2/28/1994,6-5 / 1.96,186 lbs. / 84.4 kg.,"$2,750,000 ",USA,2016,Undrafted,Undrafted,Texas A&M,NBA2k20
Tyson Chandler,73,#19,Houston Rockets,C,10/2/1982,7-0 / 2.13,235 lbs. / 106.6 kg.,"$2,564,753 ",USA,2001,1,2,,NBA2k20
Allen Crabbe,73,#0,,G-F,4/9/1992,6-5 / 1.96,197 lbs. / 89.4 kg.,"$17,818,456 ",USA,2013,2,31,California,NBA2k20
Matthew Dellavedova,73,#18,Cleveland Cavaliers,G,9/8/1990,6-3 / 1.91,190 lbs. / 86.2 kg.,"$9,607,500 ",Australia,2013,Undrafted,Undrafted,Saint Mary's,NBA2k20
James Ennis,73,#0,Orlando Magic,F,7/1/1990,6-6 / 1.98,201 lbs. / 91.2 kg.,"$1,882,867 ",USA,2013,2,50,Long Beach State,NBA2k20
Dorian Finney-Smith,73,#10,Dallas Mavericks,F,5/4/1993,6-7 / 2.01,213 lbs. / 96.6 kg.,"$4,000,000 ",USA,2016,Undrafted,Undrafted,Florida,NBA2k20
Shaquille Harrison,73,#3,Chicago Bulls,G,10/6/1993,6-7 / 2.01,190 lbs. / 86.2 kg.,"$1,620,564 ",USA,2016,Undrafted,Undrafted,Tulsa,NBA2k20
Aaron Holiday,73,#3,Indiana Pacers,G,9/30/1996,6-0 / 1.83,185 lbs. / 83.9 kg.,"$2,239,200 ",USA,2018,1,23,UCLA,NBA2k20
Danuel House,73,#4,Houston Rockets,F,6/7/1993,6-6 / 1.98,220 lbs. / 99.8 kg.,"$3,540,000 ",USA,2016,Undrafted,Undrafted,Texas A&M,NBA2k20
Stanley Johnson,73,#5,Toronto Raptors,F,5/29/1996,6-6 / 1.98,242 lbs. / 109.8 kg.,"$3,623,000 ",USA,2015,1,8,Arizona,NBA2k20
Tyus Jones,73,#21,Memphis Grizzlies,G,5/10/1996,6-0 / 1.83,185 lbs. / 83.9 kg.,"$10,116,000 ",USA,2015,1,24,Duke,NBA2k20
Furkan Korkmaz,73,#30,Philadelphia 76ers,F,6/27/1997,6-7 / 2.01,185 lbs. / 83.9 kg.,"$1,620,564 ",Turkey,2016,1,26,,NBA2k20
Ian Mahinmi,73,#28,Washington Wizards,C,11/5/1986,6-11 / 2.11,230 lbs. / 104.3 kg.,"$15,450,051 ",France,2005,1,28,,NBA2k20
